order_id,carrier,promised_date,delivered_date,days_late
MF-01641,Kessler Logistics,2026-09-12,2026-09-12,0
MF-01646,Kessler Logistics,2026-09-13,2026-09-12,0
MF-01652,Redwood Couriers,2026-09-13,2026-09-12,0
MF-01654,Kessler Logistics,2026-09-12,2026-09-12,0
MF-01655,Redwood Couriers,2026-09-13,2026-09-12,0
MF-01664,Harbour Express,2026-09-12,2026-09-12,0
MF-01669,Harbour Express,2026-09-12,2026-09-12,0
MF-01671,Northwind Freight,2026-09-12,2026-09-12,0
MF-01675,Northwind Freight,2026-09-13,2026-09-12,0
MF-01676,Redwood Couriers,2026-09-12,2026-09-12,0
MF-01679,Harbour Express,2026-09-13,2026-09-12,0
MF-01683,Harbour Express,2026-09-12,2026-09-12,0
MF-01686,Northwind Freight,2026-09-12,2026-09-12,0
MF-01691,Northwind Freight,2026-09-13,2026-09-12,0
MF-01693,Kessler Logistics,2026-09-13,2026-09-12,0
MF-01701,Northwind Freight,2026-09-13,2026-09-12,0
MF-01702,Northwind Freight,2026-09-12,2026-09-12,0
MF-01706,Harbour Express,2026-09-12,2026-09-12,0
MF-01635,Northwind Freight,2026-09-13,2026-09-13,0
MF-01650,Northwind Freight,2026-09-13,2026-09-13,0
MF-01668,Harbour Express,2026-09-13,2026-09-13,0
MF-01670,Harbour Express,2026-09-12,2026-09-13,1
MF-01672,Harbour Express,2026-09-14,2026-09-13,0
MF-01680,Kessler Logistics,2026-09-13,2026-09-13,0
MF-01682,Harbour Express,2026-09-14,2026-09-13,0
MF-01684,Kessler Logistics,2026-09-13,2026-09-13,0
MF-01685,Kessler Logistics,2026-09-13,2026-09-13,0
MF-01687,Kessler Logistics,2026-09-13,2026-09-13,0
MF-01688,Harbour Express,2026-09-13,2026-09-13,0
MF-01690,Kessler Logistics,2026-09-14,2026-09-13,0
MF-01694,Northwind Freight,2026-09-13,2026-09-13,0
MF-01695,Harbour Express,2026-09-14,2026-09-13,0
MF-01696,Kessler Logistics,2026-09-13,2026-09-13,0
MF-01699,Kessler Logistics,2026-09-13,2026-09-13,0
MF-01700,Northwind Freight,2026-09-13,2026-09-13,0
MF-01708,Kessler Logistics,2026-09-13,2026-09-13,0
MF-01714,Kessler Logistics,2026-09-14,2026-09-13,0
MF-01719,Kessler Logistics,2026-09-14,2026-09-13,0
MF-01720,Redwood Couriers,2026-09-14,2026-09-13,0
MF-01729,Northwind Freight,2026-09-13,2026-09-13,0
MF-01732,Northwind Freight,2026-09-13,2026-09-13,0
MF-01734,Kessler Logistics,2026-09-14,2026-09-13,0
MF-01749,Northwind Freight,2026-09-14,2026-09-13,0
MF-01645,Northwind Freight,2026-09-12,2026-09-14,2
MF-01658,Kessler Logistics,2026-09-12,2026-09-14,2
MF-01673,Harbour Express,2026-09-14,2026-09-14,0
MF-01681,Kessler Logistics,2026-09-14,2026-09-14,0
MF-01697,Harbour Express,2026-09-14,2026-09-14,0
MF-01698,Northwind Freight,2026-09-15,2026-09-14,0
MF-01705,Harbour Express,2026-09-14,2026-09-14,0
MF-01716,Northwind Freight,2026-09-14,2026-09-14,0
MF-01721,Kessler Logistics,2026-09-14,2026-09-14,0
MF-01743,Kessler Logistics,2026-09-14,2026-09-14,0
MF-01746,Northwind Freight,2026-09-14,2026-09-14,0
MF-01753,Kessler Logistics,2026-09-15,2026-09-14,0
MF-01760,Northwind Freight,2026-09-14,2026-09-14,0
MF-01763,Northwind Freight,2026-09-14,2026-09-14,0
MF-01643,Kessler Logistics,2026-09-13,2026-09-15,2
MF-01648,Kessler Logistics,2026-09-12,2026-09-15,3
MF-01674,Harbour Express,2026-09-12,2026-09-15,3
MF-01689,Harbour Express,2026-09-15,2026-09-15,0
MF-01692,Redwood Couriers,2026-09-15,2026-09-15,0
MF-01707,Northwind Freight,2026-09-15,2026-09-15,0
MF-01709,Northwind Freight,2026-09-15,2026-09-15,0
MF-01712,Harbour Express,2026-09-15,2026-09-15,0
MF-01713,Redwood Couriers,2026-09-15,2026-09-15,0
MF-01715,Kessler Logistics,2026-09-15,2026-09-15,0
MF-01722,Northwind Freight,2026-09-15,2026-09-15,0
MF-01723,Kessler Logistics,2026-09-15,2026-09-15,0
MF-01725,Redwood Couriers,2026-09-16,2026-09-15,0
MF-01726,Redwood Couriers,2026-09-15,2026-09-15,0
MF-01728,Northwind Freight,2026-09-15,2026-09-15,0
MF-01730,Northwind Freight,2026-09-15,2026-09-15,0
MF-01733,Kessler Logistics,2026-09-15,2026-09-15,0
MF-01735,Northwind Freight,2026-09-15,2026-09-15,0
MF-01736,Northwind Freight,2026-09-15,2026-09-15,0
MF-01738,Kessler Logistics,2026-09-15,2026-09-15,0
MF-01739,Kessler Logistics,2026-09-15,2026-09-15,0
MF-01742,Harbour Express,2026-09-15,2026-09-15,0
MF-01745,Harbour Express,2026-09-14,2026-09-15,1
MF-01748,Redwood Couriers,2026-09-16,2026-09-15,0
MF-01751,Harbour Express,2026-09-15,2026-09-15,0
MF-01752,Kessler Logistics,2026-09-15,2026-09-15,0
MF-01755,Northwind Freight,2026-09-15,2026-09-15,0
MF-01756,Kessler Logistics,2026-09-16,2026-09-15,0
MF-01757,Redwood Couriers,2026-09-15,2026-09-15,0
MF-01758,Kessler Logistics,2026-09-15,2026-09-15,0
MF-01762,Harbour Express,2026-09-15,2026-09-15,0
MF-01766,Northwind Freight,2026-09-16,2026-09-15,0
MF-01717,Kessler Logistics,2026-09-16,2026-09-16,0
MF-01718,Northwind Freight,2026-09-16,2026-09-16,0
MF-01724,Harbour Express,2026-09-16,2026-09-16,0
MF-01727,Northwind Freight,2026-09-16,2026-09-16,0
MF-01740,Kessler Logistics,2026-09-16,2026-09-16,0
MF-01750,Kessler Logistics,2026-09-16,2026-09-16,0
MF-01759,Redwood Couriers,2026-09-16,2026-09-16,0
MF-01764,Northwind Freight,2026-09-16,2026-09-16,0
MF-01768,Northwind Freight,2026-09-16,2026-09-16,0
MF-01770,Kessler Logistics,2026-09-16,2026-09-16,0
MF-01773,Harbour Express,2026-09-16,2026-09-16,0
MF-01777,Kessler Logistics,2026-09-16,2026-09-16,0
MF-01778,Kessler Logistics,2026-09-16,2026-09-16,0
MF-01780,Redwood Couriers,2026-09-17,2026-09-16,0
MF-01783,Kessler Logistics,2026-09-17,2026-09-16,0
MF-01786,Harbour Express,2026-09-16,2026-09-16,0
MF-01808,Harbour Express,2026-09-17,2026-09-16,0
MF-01741,Northwind Freight,2026-09-17,2026-09-17,0
MF-01744,Northwind Freight,2026-09-17,2026-09-17,0
MF-01754,Kessler Logistics,2026-09-17,2026-09-17,0
MF-01761,Kessler Logistics,2026-09-17,2026-09-17,0
MF-01765,Northwind Freight,2026-09-17,2026-09-17,0
MF-01767,Northwind Freight,2026-09-17,2026-09-17,0
MF-01771,Kessler Logistics,2026-09-17,2026-09-17,0
MF-01772,Kessler Logistics,2026-09-17,2026-09-17,0
MF-01774,Redwood Couriers,2026-09-17,2026-09-17,0
MF-01779,Kessler Logistics,2026-09-17,2026-09-17,0
MF-01785,Redwood Couriers,2026-09-17,2026-09-17,0
MF-01789,Redwood Couriers,2026-09-18,2026-09-17,0
MF-01793,Harbour Express,2026-09-17,2026-09-17,0
MF-01801,Redwood Couriers,2026-09-17,2026-09-17,0
MF-01811,Northwind Freight,2026-09-17,2026-09-17,0
MF-01830,Redwood Couriers,2026-09-18,2026-09-17,0
MF-01710,Kessler Logistics,2026-09-15,2026-09-18,3
MF-01747,Kessler Logistics,2026-09-16,2026-09-18,2
MF-01769,Northwind Freight,2026-09-18,2026-09-18,0
MF-01775,Kessler Logistics,2026-09-18,2026-09-18,0
MF-01776,Kessler Logistics,2026-09-19,2026-09-18,0
MF-01781,Harbour Express,2026-09-18,2026-09-18,0
MF-01782,Northwind Freight,2026-09-18,2026-09-18,0
MF-01788,Redwood Couriers,2026-09-19,2026-09-18,0
MF-01790,Harbour Express,2026-09-18,2026-09-18,0
MF-01792,Harbour Express,2026-09-18,2026-09-18,0
MF-01794,Harbour Express,2026-09-18,2026-09-18,0
MF-01795,Northwind Freight,2026-09-19,2026-09-18,0
MF-01797,Kessler Logistics,2026-09-18,2026-09-18,0
MF-01798,Kessler Logistics,2026-09-18,2026-09-18,0
MF-01799,Kessler Logistics,2026-09-18,2026-09-18,0
MF-01802,Northwind Freight,2026-09-19,2026-09-18,0
MF-01805,Kessler Logistics,2026-09-19,2026-09-18,0
MF-01806,Kessler Logistics,2026-09-18,2026-09-18,0
MF-01809,Kessler Logistics,2026-09-18,2026-09-18,0
MF-01812,Northwind Freight,2026-09-19,2026-09-18,0
MF-01829,Kessler Logistics,2026-09-18,2026-09-18,0
MF-01841,Redwood Couriers,2026-09-19,2026-09-18,0
MF-01844,Northwind Freight,2026-09-19,2026-09-18,0
MF-01851,Redwood Couriers,2026-09-19,2026-09-18,0
MF-01855,Kessler Logistics,2026-09-19,2026-09-18,0
MF-01784,Kessler Logistics,2026-09-19,2026-09-19,0
MF-01791,Redwood Couriers,2026-09-19,2026-09-19,0
MF-01803,Kessler Logistics,2026-09-19,2026-09-19,0
MF-01804,Northwind Freight,2026-09-19,2026-09-19,0
MF-01807,Harbour Express,2026-09-19,2026-09-19,0
MF-01810,Kessler Logistics,2026-09-19,2026-09-19,0
MF-01815,Kessler Logistics,2026-09-19,2026-09-19,0
MF-01817,Northwind Freight,2026-09-19,2026-09-19,0
MF-01824,Kessler Logistics,2026-09-20,2026-09-19,0
MF-01826,Kessler Logistics,2026-09-19,2026-09-19,0
MF-01831,Harbour Express,2026-09-19,2026-09-19,0
MF-01832,Kessler Logistics,2026-09-19,2026-09-19,0
MF-01837,Northwind Freight,2026-09-19,2026-09-19,0
MF-01838,Northwind Freight,2026-09-19,2026-09-19,0
MF-01884,Northwind Freight,2026-09-20,2026-09-19,0
MF-01796,Kessler Logistics,2026-09-20,2026-09-20,0
MF-01800,Kessler Logistics,2026-09-19,2026-09-20,1
MF-01813,Northwind Freight,2026-09-20,2026-09-20,0
MF-01814,Kessler Logistics,2026-09-20,2026-09-20,0
MF-01816,Kessler Logistics,2026-09-20,2026-09-20,0
MF-01818,Northwind Freight,2026-09-20,2026-09-20,0
MF-01820,Harbour Express,2026-09-20,2026-09-20,0
MF-01821,Kessler Logistics,2026-09-20,2026-09-20,0
MF-01822,Kessler Logistics,2026-09-20,2026-09-20,0
MF-01823,Redwood Couriers,2026-09-20,2026-09-20,0
MF-01825,Kessler Logistics,2026-09-20,2026-09-20,0
MF-01828,Northwind Freight,2026-09-21,2026-09-20,0
MF-01835,Kessler Logistics,2026-09-21,2026-09-20,0
MF-01836,Kessler Logistics,2026-09-20,2026-09-20,0
MF-01846,Redwood Couriers,2026-09-20,2026-09-20,0
MF-01847,Kessler Logistics,2026-09-20,2026-09-20,0
MF-01848,Redwood Couriers,2026-09-21,2026-09-20,0
MF-01850,Kessler Logistics,2026-09-21,2026-09-20,0
MF-01853,Kessler Logistics,2026-09-21,2026-09-20,0
MF-01854,Northwind Freight,2026-09-20,2026-09-20,0
MF-01857,Kessler Logistics,2026-09-20,2026-09-20,0
MF-01860,Kessler Logistics,2026-09-20,2026-09-20,0
MF-01861,Kessler Logistics,2026-09-20,2026-09-20,0
MF-01862,Kessler Logistics,2026-09-21,2026-09-20,0
MF-01863,Harbour Express,2026-09-20,2026-09-20,0
MF-01870,Northwind Freight,2026-09-21,2026-09-20,0
MF-01878,Harbour Express,2026-09-21,2026-09-20,0
MF-01882,Northwind Freight,2026-09-20,2026-09-20,0
MF-01883,Harbour Express,2026-09-20,2026-09-20,0
MF-01889,Harbour Express,2026-09-20,2026-09-20,0
